unit,group,conversation,turn,Data,Theory,Question,Example,Critique
At03,A_tight,At03_session,1,0,0,1,1,0
At03,A_tight,At03_session,2,1,0,0,0,0
At03,A_tight,At03_session,3,0,0,0,0,0
At03,A_tight,At03_session,4,0,0,1,0,0
At03,A_tight,At03_session,5,0,0,0,1,1
At03,A_tight,At03_session,6,0,0,0,0,0
At03,A_tight,At03_session,7,1,0,0,1,0
At03,A_tight,At03_session,8,0,0,0,0,1
At03,A_tight,At03_session,9,0,0,1,0,0
At03,A_tight,At03_session,10,0,0,0,1,0
At03,A_tight,At03_session,11,0,0,0,0,0
At03,A_tight,At03_session,12,1,0,0,0,0
At03,A_tight,At03_session,13,0,0,0,1,0
At03,A_tight,At03_session,14,1,0,0,1,0
At03,A_tight,At03_session,15,1,1,0,1,0
At03,A_tight,At03_session,16,0,0,0,0,1
At03,A_tight,At03_session,17,1,0,0,0,0
At03,A_tight,At03_session,18,0,0,0,0,0
At03,A_tight,At03_session,19,1,0,1,0,0
At04,A_tight,At04_session,0,0,0,0,1,0
At04,A_tight,At04_session,1,0,0,0,0,0
At04,A_tight,At04_session,2,1,0,1,1,1
At04,A_tight,At04_session,3,1,0,0,0,0
At04,A_tight,At04_session,4,1,0,1,0,0
At04,A_tight,At04_session,5,0,0,1,1,0
At04,A_tight,At04_session,6,1,0,0,1,1
At04,A_tight,At04_session,7,0,1,0,0,0
At04,A_tight,At04_session,8,1,0,0,0,0
At04,A_tight,At04_session,9,1,0,0,1,1
At04,A_tight,At04_session,10,1,1,1,0,1
At04,A_tight,At04_session,11,1,0,1,0,0
At04,A_tight,At04_session,12,1,0,0,0,0
At04,A_tight,At04_session,13,0,0,1,0,0
At04,A_tight,At04_session,14,0,0,0,0,0
At04,A_tight,At04_session,15,0,0,0,0,0
At04,A_tight,At04_session,16,1,0,0,0,0
At04,A_tight,At04_session,17,0,0,1,0,0
At04,A_tight,At04_session,18,1,0,0,0,0
At04,A_tight,At04_session,19,1,0,0,0,0
At05,A_tight,At05_session,0,0,0,0,1,0
At05,A_tight,At05_session,1,1,0,0,1,0
At05,A_tight,At05_session,2,0,0,0,0,0
At05,A_tight,At05_session,3,1,0,0,1,0
At05,A_tight,At05_session,4,0,0,0,1,0
At05,A_tight,At05_session,5,0,0,0,0,0
At05,A_tight,At05_session,6,1,1,0,1,0
At05,A_tight,At05_session,7,1,0,0,0,0
At05,A_tight,At05_session,8,1,0,0,1,0
At05,A_tight,At05_session,9,1,0,1,0,0
At05,A_tight,At05_session,10,0,0,0,0,0
At05,A_tight,At05_session,11,0,0,0,0,0
At05,A_tight,At05_session,12,0,1,0,0,0
At05,A_tight,At05_session,13,1,0,0,1,0
At05,A_tight,At05_session,14,1,0,1,0,0
At05,A_tight,At05_session,15,0,0,0,0,0
At05,A_tight,At05_session,16,1,0,0,0,0
At05,A_tight,At05_session,17,0,0,0,0,1
At05,A_tight,At05_session,18,1,0,0,0,0
At05,A_tight,At05_session,19,0,0,0,0,0
At06,A_tight,At06_session,0,0,0,0,0,0
At06,A_tight,At06_session,1,0,0,0,0,0
At06,A_tight,At06_session,2,0,0,0,0,0
At06,A_tight,At06_session,3,1,0,0,0,0
At06,A_tight,At06_session,4,0,0,0,0,0
At06,A_tight,At06_session,5,1,0,1,0,0
At06,A_tight,At06_session,6,0,0,1,1,0
At06,A_tight,At06_session,7,0,0,0,0,0
At06,A_tight,At06_session,8,0,0,0,0,0
At06,A_tight,At06_session,9,0,0,0,0,0
At06,A_tight,At06_session,10,1,0,0,1,0
At06,A_tight,At06_session,11,1,0,1,1,0
At06,A_tight,At06_session,12,1,0,1,1,0
At06,A_tight,At06_session,13,1,0,1,1,1
At06,A_tight,At06_session,14,1,0,1,1,1
At06,A_tight,At06_session,15,1,0,0,0,0
At06,A_tight,At06_session,16,1,0,0,1,0
At06,A_tight,At06_session,17,0,0,0,0,0
At06,A_tight,At06_session,18,1,0,0,0,0
At06,A_tight,At06_session,19,1,0,0,1,0
At07,A_tight,At07_session,0,1,0,0,1,0
At07,A_tight,At07_session,1,1,0,0,1,0
At07,A_tight,At07_session,2,0,0,0,0,0
At07,A_tight,At07_session,3,1,0,0,0,0
At07,A_tight,At07_session,4,1,0,0,0,0
At07,A_tight,At07_session,5,1,0,0,1,0
At07,A_tight,At07_session,6,1,0,1,1,0
At07,A_tight,At07_session,7,1,0,1,0,0
At07,A_tight,At07_session,8,0,0,0,0,0
At07,A_tight,At07_session,9,0,0,1,0,0
At07,A_tight,At07_session,10,0,0,0,0,0
At07,A_tight,At07_session,11,1,0,0,1,0
At07,A_tight,At07_session,12,0,0,0,1,0
At07,A_tight,At07_session,13,0,1,0,1,1
At07,A_tight,At07_session,14,0,0,0,1,0
At07,A_tight,At07_session,15,0,0,0,0,0
At07,A_tight,At07_session,16,0,0,0,1,0
At07,A_tight,At07_session,17,0,0,1,0,0
At07,A_tight,At07_session,18,0,0,0,1,0
At07,A_tight,At07_session,19,1,0,0,0,0
At08,A_tight,At08_session,0,1,0,0,0,0
At08,A_tight,At08_session,1,0,0,0,0,0
At08,A_tight,At08_session,2,1,0,0,1,0
At08,A_tight,At08_session,3,0,0,0,0,0
At08,A_tight,At08_session,4,1,0,0,0,1
At08,A_tight,At08_session,5,0,0,0,1,0
At08,A_tight,At08_session,6,1,0,1,0,0
At08,A_tight,At08_session,7,1,0,0,0,0
At08,A_tight,At08_session,8,0,0,0,1,0
At08,A_tight,At08_session,9,0,0,0,0,0
At08,A_tight,At08_session,10,1,0,0,0,1
At08,A_tight,At08_session,11,0,0,0,0,0
At08,A_tight,At08_session,12,0,0,0,0,0
At08,A_tight,At08_session,13,0,0,0,0,0
At08,A_tight,At08_session,14,0,0,1,0,0
At08,A_tight,At08_session,15,1,0,0,1,0
At08,A_tight,At08_session,16,0,1,0,0,0
At08,A_tight,At08_session,17,0,0,0,0,0
At08,A_tight,At08_session,18,1,0,1,1,0
At08,A_tight,At08_session,19,1,0,0,0,0
At09,A_tight,At09_session,0,1,0,0,0,0
At09,A_tight,At09_session,1,1,0,0,0,0
At09,A_tight,At09_session,2,1,1,0,0,1
At09,A_tight,At09_session,3,0,0,0,0,0
At09,A_tight,At09_session,4,0,0,0,0,0
At09,A_tight,At09_session,5,1,0,0,1,1
At09,A_tight,At09_session,6,1,0,0,1,0
At09,A_tight,At09_session,7,1,0,1,1,0
At09,A_tight,At09_session,8,1,0,0,1,0
At09,A_tight,At09_session,9,0,0,0,1,0
At09,A_tight,At09_session,10,1,0,0,1,0
At09,A_tight,At09_session,11,1,1,0,0,0
At09,A_tight,At09_session,12,0,0,0,1,0
At09,A_tight,At09_session,13,0,0,0,1,0
At09,A_tight,At09_session,14,1,0,0,0,0
At09,A_tight,At09_session,15,0,0,0,0,0
At09,A_tight,At09_session,16,1,0,0,0,0
At09,A_tight,At09_session,17,1,0,0,0,0
At09,A_tight,At09_session,18,1,1,0,1,0
At09,A_tight,At09_session,19,1,0,0,0,0
At10,A_tight,At10_session,0,0,0,1,0,0
At10,A_tight,At10_session,1,1,0,1,1,0
At10,A_tight,At10_session,2,1,0,0,1,0
At10,A_tight,At10_session,3,1,0,0,0,0
At10,A_tight,At10_session,4,0,0,0,1,1
At10,A_tight,At10_session,5,1,0,1,0,0
At10,A_tight,At10_session,6,1,0,1,1,0
At10,A_tight,At10_session,7,0,0,0,1,0
At10,A_tight,At10_session,8,0,0,0,0,0
At10,A_tight,At10_session,9,1,0,1,0,0
At10,A_tight,At10_session,10,1,0,0,0,0
At10,A_tight,At10_session,11,0,0,0,1,0
At10,A_tight,At10_session,12,1,0,0,1,0
At10,A_tight,At10_session,13,0,0,0,0,1
At10,A_tight,At10_session,14,0,0,0,0,0
At10,A_tight,At10_session,15,0,0,0,1,0
At10,A_tight,At10_session,16,1,0,0,1,1
At10,A_tight,At10_session,17,0,0,0,1,0
At10,A_tight,At10_session,18,0,0,0,0,0
At10,A_tight,At10_session,19,0,0,1,0,1
At11,A_tight,At11_session,0,1,0,0,0,0
At11,A_tight,At11_session,1,0,0,0,1,0
At11,A_tight,At11_session,2,0,0,1,1,0
At11,A_tight,At11_session,3,1,0,1,1,0
At11,A_tight,At11_session,4,1,0,0,1,0
At11,A_tight,At11_session,5,0,0,0,0,0
At11,A_tight,At11_session,6,1,0,1,0,0
At11,A_tight,At11_session,7,0,0,0,0,0
At11,A_tight,At11_session,8,1,0,1,0,0
At11,A_tight,At11_session,9,1,0,0,0,0
At11,A_tight,At11_session,10,1,0,0,0,0
At11,A_tight,At11_session,11,0,0,1,0,0
At11,A_tight,At11_session,12,0,0,0,1,1
At11,A_tight,At11_session,13,0,0,0,0,0
At11,A_tight,At11_session,14,0,0,0,1,0
At11,A_tight,At11_session,15,0,0,1,1,0
At11,A_tight,At11_session,16,1,0,0,0,0
At11,A_tight,At11_session,17,0,0,0,0,0
At11,A_tight,At11_session,18,0,0,0,0,0
At11,A_tight,At11_session,19,0,0,0,0,0
At12,A_tight,At12_session,0,0,0,0,0,0
At12,A_tight,At12_session,1,0,0,0,1,0
At12,A_tight,At12_session,2,0,0,0,1,0
At12,A_tight,At12_session,3,0,0,1,0,0
At12,A_tight,At12_session,4,0,0,0,0,0
At12,A_tight,At12_session,5,0,0,1,1,0
At12,A_tight,At12_session,6,1,0,0,0,1
At12,A_tight,At12_session,7,0,0,0,0,0
At12,A_tight,At12_session,8,0,1,1,1,0
At12,A_tight,At12_session,9,0,0,0,1,0
At12,A_tight,At12_session,10,1,0,1,0,0
At12,A_tight,At12_session,11,1,0,0,0,0
At12,A_tight,At12_session,12,0,0,0,0,0
At12,A_tight,At12_session,13,0,0,0,0,0
At12,A_tight,At12_session,14,0,0,1,1,0
At12,A_tight,At12_session,15,1,0,0,0,0
At12,A_tight,At12_session,16,0,0,0,0,0
At12,A_tight,At12_session,17,0,0,1,0,0
At12,A_tight,At12_session,18,0,0,1,1,0
At12,A_tight,At12_session,19,1,0,0,1,0
At13,A_tight,At13_session,0,1,0,0,0,0
At13,A_tight,At13_session,1,0,0,0,1,0
At13,A_tight,At13_session,2,1,0,0,1,0
At13,A_tight,At13_session,3,0,0,0,1,0
At13,A_tight,At13_session,4,0,0,0,1,0
At13,A_tight,At13_session,5,1,0,0,0,0
At13,A_tight,At13_session,6,1,0,1,0,0
At13,A_tight,At13_session,7,1,0,1,0,0
At13,A_tight,At13_session,8,0,0,0,1,0
At13,A_tight,At13_session,9,1,0,0,0,0
At13,A_tight,At13_session,10,0,0,0,1,1
At13,A_tight,At13_session,11,1,0,0,1,0
At13,A_tight,At13_session,12,1,0,0,0,0
At13,A_tight,At13_session,13,0,0,0,0,0
At13,A_tight,At13_session,14,0,0,0,1,1
At13,A_tight,At13_session,15,1,0,0,0,0
At13,A_tight,At13_session,16,1,0,0,0,1
At13,A_tight,At13_session,17,0,0,0,0,0
At13,A_tight,At13_session,18,0,0,0,1,0
At13,A_tight,At13_session,19,0,0,0,0,0
At14,A_tight,At14_session,0,0,0,0,0,0
At14,A_tight,At14_session,1,0,0,0,1,0
At14,A_tight,At14_session,2,1,0,0,1,0
At14,A_tight,At14_session,3,1,0,1,0,0
At14,A_tight,At14_session,4,1,0,1,0,0
At14,A_tight,At14_session,5,0,0,0,0,0
At14,A_tight,At14_session,6,1,0,1,0,0
At14,A_tight,At14_session,7,1,0,0,0,0
At14,A_tight,At14_session,8,1,0,0,1,0
At14,A_tight,At14_session,9,0,1,1,0,0
At14,A_tight,At14_session,10,1,0,1,1,0
At14,A_tight,At14_session,11,0,1,0,0,0
At14,A_tight,At14_session,12,1,0,0,0,0
At14,A_tight,At14_session,13,1,0,0,1,0
At14,A_tight,At14_session,14,0,0,0,0,0
At14,A_tight,At14_session,15,1,0,0,0,0
At14,A_tight,At14_session,16,0,0,0,0,1
At14,A_tight,At14_session,17,0,0,0,1,0
At14,A_tight,At14_session,18,1,0,1,0,0
At14,A_tight,At14_session,19,1,0,0,0,0
At15,A_tight,At15_session,0,0,0,0,0,0
At15,A_tight,At15_session,1,0,0,0,1,0
At15,A_tight,At15_session,2,1,0,0,1,0
At15,A_tight,At15_session,3,1,0,0,1,0
At15,A_tight,At15_session,4,0,0,0,1,0
At15,A_tight,At15_session,5,0,0,1,1,0
At15,A_tight,At15_session,6,1,0,0,0,0
At15,A_tight,At15_session,7,0,0,0,1,0
At15,A_tight,At15_session,8,1,0,0,1,0
At15,A_tight,At15_session,9,1,0,0,1,0
At15,A_tight,At15_session,10,1,0,0,0,0
At15,A_tight,At15_session,11,1,0,0,1,0
At15,A_tight,At15_session,12,1,0,0,1,0
At15,A_tight,At15_session,13,0,0,0,1,0
At15,A_tight,At15_session,14,1,0,0,1,0
At15,A_tight,At15_session,15,0,0,0,0,0
At15,A_tight,At15_session,16,1,0,0,0,0
At15,A_tight,At15_session,17,1,0,0,1,0
At15,A_tight,At15_session,18,1,0,1,0,0
At15,A_tight,At15_session,19,0,0,0,0,0
At16,A_tight,At16_session,0,1,0,0,0,0
At16,A_tight,At16_session,1,1,0,0,0,0
At16,A_tight,At16_session,2,0,0,1,1,0
At16,A_tight,At16_session,3,0,0,1,1,0
At16,A_tight,At16_session,4,1,0,0,1,1
At16,A_tight,At16_session,5,0,0,0,1,0
At16,A_tight,At16_session,6,0,0,0,1,0
At16,A_tight,At16_session,7,0,0,0,0,0
At16,A_tight,At16_session,8,1,0,0,0,0
At16,A_tight,At16_session,9,0,0,0,1,0
At16,A_tight,At16_session,10,0,0,0,0,0
At16,A_tight,At16_session,11,1,0,1,0,0
At16,A_tight,At16_session,12,0,0,0,0,1
At16,A_tight,At16_session,13,0,0,0,0,0
At16,A_tight,At16_session,14,1,0,0,1,1
At16,A_tight,At16_session,15,0,0,0,1,0
At16,A_tight,At16_session,16,0,0,0,0,0
At16,A_tight,At16_session,17,0,0,0,1,0
At16,A_tight,At16_session,18,1,0,0,0,0
At16,A_tight,At16_session,19,1,0,0,1,0
At17,A_tight,At17_session,0,0,0,0,0,0
At17,A_tight,At17_session,1,1,0,0,1,0
At17,A_tight,At17_session,2,1,1,1,0,0
At17,A_tight,At17_session,3,0,0,0,0,0
At17,A_tight,At17_session,4,1,0,0,0,0
At17,A_tight,At17_session,5,1,1,0,0,1
At17,A_tight,At17_session,6,0,1,0,0,0
At17,A_tight,At17_session,7,1,0,0,1,0
At17,A_tight,At17_session,8,1,0,0,0,0
At17,A_tight,At17_session,9,1,0,0,0,0
At17,A_tight,At17_session,10,0,0,1,1,0
At17,A_tight,At17_session,11,0,0,0,1,0
At17,A_tight,At17_session,12,1,1,0,0,0
At17,A_tight,At17_session,13,0,0,1,1,0
At17,A_tight,At17_session,14,0,0,0,1,0
At17,A_tight,At17_session,15,1,0,1,0,0
At17,A_tight,At17_session,16,1,0,0,1,0
At17,A_tight,At17_session,17,1,0,0,0,0
At17,A_tight,At17_session,18,1,0,0,1,0
At17,A_tight,At17_session,19,1,0,0,0,0
At18,A_tight,At18_session,0,1,0,0,0,1
At18,A_tight,At18_session,1,1,0,1,1,1
At18,A_tight,At18_session,2,0,0,0,1,0
At18,A_tight,At18_session,3,0,0,1,1,1
At18,A_tight,At18_session,4,0,0,0,1,1
At18,A_tight,At18_session,5,0,0,0,0,0
At18,A_tight,At18_session,6,1,0,0,0,0
At18,A_tight,At18_session,7,0,1,0,0,0
At18,A_tight,At18_session,8,0,0,0,0,0
At18,A_tight,At18_session,9,0,0,0,0,0
At18,A_tight,At18_session,10,1,0,0,0,0
At18,A_tight,At18_session,11,1,0,1,0,0
At18,A_tight,At18_session,12,1,0,0,0,0
At18,A_tight,At18_session,13,1,0,0,0,0
At18,A_tight,At18_session,14,0,0,1,0,0
At18,A_tight,At18_session,15,0,1,1,1,0
At18,A_tight,At18_session,16,0,0,0,0,0
At18,A_tight,At18_session,17,0,0,0,1,0
At18,A_tight,At18_session,18,0,0,0,0,0
At18,A_tight,At18_session,19,1,1,0,0,0
At19,A_tight,At19_session,0,0,0,1,1,0
At19,A_tight,At19_session,1,0,1,0,1,0
At19,A_tight,At19_session,2,1,0,0,1,0
At19,A_tight,At19_session,3,1,0,0,1,0
At19,A_tight,At19_session,4,0,0,0,0,0
At19,A_tight,At19_session,5,0,1,0,1,0
At19,A_tight,At19_session,6,1,0,0,0,1
At19,A_tight,At19_session,7,0,0,0,0,0
At19,A_tight,At19_session,8,0,0,0,0,1
At19,A_tight,At19_session,9,1,0,0,0,0
At19,A_tight,At19_session,10,0,0,1,1,0
At19,A_tight,At19_session,11,1,0,0,0,0
At19,A_tight,At19_session,12,0,0,0,0,0
At19,A_tight,At19_session,13,1,0,0,0,0
At19,A_tight,At19_session,14,0,0,0,1,1
At19,A_tight,At19_session,15,1,0,0,0,0
At19,A_tight,At19_session,16,0,0,0,0,0
At19,A_tight,At19_session,17,1,0,0,0,0
At19,A_tight,At19_session,18,1,0,0,0,0
At19,A_tight,At19_session,19,0,0,0,1,0
At20,A_tight,At20_session,0,1,0,0,1,0
At20,A_tight,At20_session,1,0,0,0,1,0
At20,A_tight,At20_session,2,1,1,0,1,0
At20,A_tight,At20_session,3,1,0,0,1,0
At20,A_tight,At20_session,4,0,0,0,1,0
At20,A_tight,At20_session,5,1,0,0,1,0
At20,A_tight,At20_session,6,1,0,0,0,0
At20,A_tight,At20_session,7,1,0,1,1,0
At20,A_tight,At20_session,8,0,0,0,1,0
At20,A_tight,At20_session,9,0,1,0,0,1
At20,A_tight,At20_session,10,1,0,1,0,0
At20,A_tight,At20_session,11,0,0,0,0,0
At20,A_tight,At20_session,12,1,0,0,0,1
At20,A_tight,At20_session,13,0,0,0,1,0
At20,A_tight,At20_session,14,0,0,0,0,0
At20,A_tight,At20_session,15,0,0,0,0,0
At20,A_tight,At20_session,16,1,1,0,0,0
At20,A_tight,At20_session,17,1,0,0,0,0
At20,A_tight,At20_session,18,0,0,0,0,0
At20,A_tight,At20_session,19,0,0,0,0,0
At21,A_tight,At21_session,0,1,0,0,1,0
At21,A_tight,At21_session,1,1,0,0,0,0
At21,A_tight,At21_session,2,1,0,0,1,0
At21,A_tight,At21_session,3,0,0,0,0,0
At21,A_tight,At21_session,4,0,0,1,0,0
At21,A_tight,At21_session,5,1,1,0,0,0
At21,A_tight,At21_session,6,0,0,0,1,0
At21,A_tight,At21_session,7,0,0,0,1,0
At21,A_tight,At21_session,8,0,0,0,0,0
At21,A_tight,At21_session,9,1,0,0,0,1
At21,A_tight,At21_session,10,1,0,0,0,0
At21,A_tight,At21_session,11,0,0,0,0,0
At21,A_tight,At21_session,12,0,0,1,0,0
At21,A_tight,At21_session,13,0,0,1,0,0
At21,A_tight,At21_session,14,0,0,0,0,0
At21,A_tight,At21_session,15,1,0,1,1,0
At21,A_tight,At21_session,16,0,0,0,0,0
At21,A_tight,At21_session,17,1,0,0,0,1
At21,A_tight,At21_session,18,1,0,0,0,0
At21,A_tight,At21_session,19,0,0,0,1,0
At22,A_tight,At22_session,0,0,0,1,0,0
At22,A_tight,At22_session,1,1,0,0,0,1
At22,A_tight,At22_session,2,0,0,1,1,1
At22,A_tight,At22_session,3,1,0,0,1,0
At22,A_tight,At22_session,4,0,0,0,0,0
At22,A_tight,At22_session,5,0,0,1,1,0
At22,A_tight,At22_session,6,0,1,0,0,0
At22,A_tight,At22_session,7,1,0,0,0,1
At22,A_tight,At22_session,8,1,0,0,0,0
At22,A_tight,At22_session,9,0,0,0,1,0
At22,A_tight,At22_session,10,0,0,0,0,0
At22,A_tight,At22_session,11,0,0,0,1,0
At22,A_tight,At22_session,12,1,0,0,0,0
At22,A_tight,At22_session,13,0,0,0,0,1
At22,A_tight,At22_session,14,1,0,0,1,0
At22,A_tight,At22_session,15,1,0,0,0,0
At22,A_tight,At22_session,16,0,0,1,0,1
At22,A_tight,At22_session,17,1,0,1,1,0
At22,A_tight,At22_session,18,0,0,0,1,0
At22,A_tight,At22_session,19,1,0,0,1,0
At23,A_tight,At23_session,0,1,0,0,0,0
At23,A_tight,At23_session,1,0,0,0,1,0
At23,A_tight,At23_session,2,0,0,1,0,1
At23,A_tight,At23_session,3,1,1,0,0,1
At23,A_tight,At23_session,4,1,0,0,1,0
At23,A_tight,At23_session,5,0,1,1,1,0
At23,A_tight,At23_session,6,0,0,0,0,1
At23,A_tight,At23_session,7,0,0,0,0,0
At23,A_tight,At23_session,8,1,0,1,0,0
At23,A_tight,At23_session,9,1,0,0,0,0
At23,A_tight,At23_session,10,1,0,0,1,0
At23,A_tight,At23_session,11,0,0,0,0,0
At23,A_tight,At23_session,12,1,0,0,0,0
At23,A_tight,At23_session,13,0,0,0,0,0
At23,A_tight,At23_session,14,0,0,0,0,0
At23,A_tight,At23_session,15,1,0,0,1,0
At23,A_tight,At23_session,16,1,0,1,0,0
At23,A_tight,At23_session,17,1,1,0,1,0
At23,A_tight,At23_session,18,0,0,0,0,0
At23,A_tight,At23_session,19,0,0,0,1,0
At24,A_tight,At24_session,0,1,1,0,0,0
At24,A_tight,At24_session,1,0,0,0,1,0
At24,A_tight,At24_session,2,0,0,0,1,0
At24,A_tight,At24_session,3,1,0,0,0,0
At24,A_tight,At24_session,4,0,0,0,0,0
At24,A_tight,At24_session,5,1,0,0,1,0
At24,A_tight,At24_session,6,1,0,0,1,0
At24,A_tight,At24_session,7,1,0,0,0,0
At24,A_tight,At24_session,8,0,0,0,0,0
At24,A_tight,At24_session,9,1,0,1,0,0
At24,A_tight,At24_session,10,1,0,0,0,0
At24,A_tight,At24_session,11,0,0,0,1,0
At24,A_tight,At24_session,12,1,0,0,1,0
At24,A_tight,At24_session,13,0,0,0,0,0
At24,A_tight,At24_session,14,1,0,0,0,0
At24,A_tight,At24_session,15,1,0,0,0,0
At24,A_tight,At24_session,16,0,0,0,0,0
At24,A_tight,At24_session,17,1,0,0,0,0
At24,A_tight,At24_session,18,1,0,0,0,0
At24,A_tight,At24_session,19,0,1,0,0,0
At25,A_tight,At25_session,0,1,0,0,1,0
At25,A_tight,At25_session,1,0,0,0,1,0
At25,A_tight,At25_session,2,0,0,1,0,0
At25,A_tight,At25_session,3,0,0,0,0,1
At25,A_tight,At25_session,4,1,0,0,0,1
At25,A_tight,At25_session,5,1,0,0,0,1
At25,A_tight,At25_session,6,0,0,0,1,0
At25,A_tight,At25_session,7,0,0,1,1,0
At25,A_tight,At25_session,8,1,0,0,0,0
At25,A_tight,At25_session,9,1,0,0,0,0
At25,A_tight,At25_session,10,0,0,0,1,0
At25,A_tight,At25_session,11,1,0,0,0,0
At25,A_tight,At25_session,12,0,0,0,1,0
At25,A_tight,At25_session,13,0,0,0,0,0
At25,A_tight,At25_session,14,0,0,0,1,0
At25,A_tight,At25_session,15,0,0,0,1,1
At25,A_tight,At25_session,16,1,0,0,0,1
At25,A_tight,At25_session,17,0,1,0,0,0
At25,A_tight,At25_session,18,1,0,0,0,0
At25,A_tight,At25_session,19,0,0,0,0,0
At26,A_tight,At26_session,0,0,0,1,1,0
At26,A_tight,At26_session,1,0,0,0,0,0
At26,A_tight,At26_session,2,1,0,0,0,1
At26,A_tight,At26_session,3,1,0,0,0,0
At26,A_tight,At26_session,4,1,0,0,1,0
At26,A_tight,At26_session,5,1,0,0,1,0
At26,A_tight,At26_session,6,1,0,0,0,0
At26,A_tight,At26_session,7,1,0,0,0,0
At26,A_tight,At26_session,8,0,0,0,1,0
At26,A_tight,At26_session,9,1,0,1,1,0
At26,A_tight,At26_session,10,1,0,1,1,0
At26,A_tight,At26_session,11,1,0,0,0,0
At26,A_tight,At26_session,12,0,0,1,0,0
At26,A_tight,At26_session,13,1,0,0,0,0
At26,A_tight,At26_session,14,1,0,1,1,0
At26,A_tight,At26_session,15,0,0,0,1,0
At26,A_tight,At26_session,16,0,0,0,1,1
At26,A_tight,At26_session,17,1,0,0,0,1
At26,A_tight,At26_session,18,0,0,0,0,0
At26,A_tight,At26_session,19,1,0,0,1,0
At27,A_tight,At27_session,0,0,0,0,0,1
At27,A_tight,At27_session,1,1,0,0,1,0
At27,A_tight,At27_session,2,0,0,1,0,0
At27,A_tight,At27_session,3,1,0,0,1,0
At27,A_tight,At27_session,4,1,0,0,0,1
At27,A_tight,At27_session,5,1,1,0,0,0
At27,A_tight,At27_session,6,0,0,0,0,0
At27,A_tight,At27_session,7,1,0,0,0,0
At27,A_tight,At27_session,8,1,1,1,0,0
At27,A_tight,At27_session,9,1,0,0,0,0
At27,A_tight,At27_session,10,1,0,0,0,0
At27,A_tight,At27_session,11,0,0,0,1,0
At27,A_tight,At27_session,12,0,0,0,0,0
At27,A_tight,At27_session,13,0,0,0,0,0
At27,A_tight,At27_session,14,0,0,1,0,0
At27,A_tight,At27_session,15,1,0,0,1,0
At27,A_tight,At27_session,16,0,0,1,1,0
At27,A_tight,At27_session,17,0,0,0,1,0
At27,A_tight,At27_session,18,0,0,1,0,1
At27,A_tight,At27_session,19,1,0,1,1,0
At28,A_tight,At28_session,0,1,0,0,0,0
At28,A_tight,At28_session,1,1,0,0,0,0
At28,A_tight,At28_session,2,0,0,0,0,0
At28,A_tight,At28_session,3,1,0,1,1,0
At28,A_tight,At28_session,4,0,0,0,0,0
At28,A_tight,At28_session,5,0,0,0,1,0
At28,A_tight,At28_session,6,0,0,0,0,0
At28,A_tight,At28_session,7,1,0,0,0,0
At28,A_tight,At28_session,8,1,0,0,1,1
At28,A_tight,At28_session,9,0,0,0,0,0
At28,A_tight,At28_session,10,1,0,0,0,0
At28,A_tight,At28_session,11,0,0,0,0,1
At28,A_tight,At28_session,12,1,0,1,0,0
At28,A_tight,At28_session,13,1,0,0,1,0
At28,A_tight,At28_session,14,1,1,0,0,0
At28,A_tight,At28_session,15,0,0,0,0,0
At28,A_tight,At28_session,16,1,0,0,1,0
